Comment,Designator,Footprint,LCSC
USBLC6-2SC6,U2,SOT-23-6,C2827654
CH334F,U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,C5187527
USB_C_Plug,P1,USB_C_Plug_Molex_105444,C561769
12MHz,Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,C7294608
USB3_A,J1,USB-A-SMD_HC-USB3.0-C345-P,C7501863
10n,C2,C_0402_1005Metric,
10u,C7,C_0402_1005Metric,
100n,C6,C_0402_1005Metric,
10n,C1,C_0402_1005Metric,
5k1,R1,R_0402_1005Metric,
1u,C8,C_0402_1005Metric,
1u,C5,C_0402_1005Metric,
10n,C3,C_0402_1005Metric,
10n,C4,C_0402_1005Metric,
